layer,best_threshold,AUPRC,AUROC,precision,recall,f1,tpr_at_5fpr,urup,arsp
0,0.36276457732486905,0.8975,0.9365,0.8995,0.9400,0.9193,0.4250,0.0600,0.1050
1,0.1946795311464806,0.9473,0.9605,0.9143,0.9600,0.9366,0.6800,0.0400,0.0900
2,0.6353203348222781,0.9743,0.9767,0.9254,0.9300,0.9277,0.8400,0.0700,0.0750
3,0.3534409658362468,0.9702,0.9780,0.9317,0.9550,0.9432,0.9000,0.0450,0.0700
4,0.21212503187460685,0.9857,0.9860,0.9108,0.9700,0.9395,0.9200,0.0300,0.0950
5,0.12177615183419688,0.9834,0.9818,0.9151,0.9700,0.9417,0.8600,0.0300,0.0900
6,0.31325615850757016,0.9855,0.9859,0.8955,0.9850,0.9381,0.8950,0.0150,0.1150
7,0.2746035983277993,0.9826,0.9829,0.9279,0.9650,0.9461,0.8800,0.0350,0.0750
8,0.23324131823586994,0.9809,0.9803,0.9198,0.9750,0.9466,0.8850,0.0250,0.0850
9,0.23395042275690067,0.9857,0.9852,0.9324,0.9650,0.9484,0.8850,0.0350,0.0700
10,0.5536662462012222,0.9873,0.9880,0.9155,0.9750,0.9443,0.9150,0.0250,0.0900
11,0.3758213642156787,0.9781,0.9806,0.9272,0.9550,0.9409,0.9100,0.0450,0.0750
12,0.15477120740847153,0.9849,0.9844,0.8981,0.9700,0.9327,0.8800,0.0300,0.1100
13,0.1135050474355618,0.9821,0.9846,0.8919,0.9900,0.9384,0.8800,0.0100,0.1200
14,0.4854677507696165,0.9786,0.9830,0.9190,0.9650,0.9415,0.8600,0.0350,0.0850
15,0.16144922748222745,0.9880,0.9884,0.9112,0.9750,0.9420,0.9100,0.0250,0.0950
16,0.5750056704590945,0.9824,0.9856,0.9447,0.9400,0.9424,0.9100,0.0600,0.0550
17,0.16165800636791214,0.9856,0.9874,0.9167,0.9900,0.9519,0.9350,0.0100,0.0900
18,0.29282941030764087,0.9838,0.9866,0.9249,0.9850,0.9540,0.9050,0.0150,0.0800
19,0.06056531697322498,0.9884,0.9889,0.9078,0.9850,0.9448,0.9250,0.0150,0.1000
20,0.1312921780114137,0.9852,0.9863,0.9037,0.9850,0.9426,0.9050,0.0150,0.1050
21,0.4646508390297925,0.9874,0.9874,0.9198,0.9750,0.9466,0.9200,0.0250,0.0850
22,0.12125638247270024,0.9866,0.9862,0.9163,0.9850,0.9494,0.8950,0.0150,0.0900
23,0.2626083998623633,0.9880,0.9885,0.9282,0.9700,0.9487,0.9150,0.0300,0.0750
24,0.10102947482458818,0.9881,0.9891,0.9120,0.9850,0.9471,0.9250,0.0150,0.0950
25,0.3332827772707484,0.9874,0.9877,0.9202,0.9800,0.9492,0.9050,0.0200,0.0850
26,0.34335567938506584,0.9890,0.9893,0.9324,0.9650,0.9484,0.9400,0.0350,0.0700
27,0.050499690683994514,0.9879,0.9884,0.9124,0.9900,0.9496,0.9400,0.0100,0.0950
28,0.15149112337299317,0.9853,0.9882,0.9206,0.9850,0.9517,0.9350,0.0150,0.0850
29,0.4040348153176038,0.9797,0.9847,0.9324,0.9650,0.9484,0.9300,0.0350,0.0700
30,0.171707603370284,0.9883,0.9889,0.9245,0.9800,0.9515,0.9350,0.0200,0.0800
31,0.16162465359446637,0.9865,0.9863,0.9202,0.9800,0.9492,0.9350,0.0200,0.0850
32,0.232239604986983,0.9833,0.9856,0.9327,0.9700,0.9510,0.9050,0.0300,0.0700